column_name,badges,comments,post_history,post_links,posts_answers,posts_moderator_nomination,posts_orphaned_tag_wiki,posts_privilege_wiki,posts_questions,posts_tag_wiki,posts_tag_wiki_excerpt,posts_wiki_placeholder,stackoverflow_posts,tags,users,votes
about_me,,,,,,,,,,,,,,,1.0,
accepted_answer_id,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
age,,,,,,,,,,,,,,,1.0,
answer_count,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
body,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
class,1.0,,,,,,,,,,,,,,,
comment,,,1.0,,,,,,,,,,,,,
comment_count,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
community_owned_date,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
count,,,,,,,,,,,,,,1.0,,
creation_date,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
date,1.0,,,,,,,,,,,,,,,
display_name,,,,,,,,,,,,,,,1.0,
down_votes,,,,,,,,,,,,,,,1.0,
excerpt_post_id,,,,,,,,,,,,,,1.0,,
favorite_count,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
id,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
last_access_date,,,,,,,,,,,,,,,1.0,
last_activity_date,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
last_edit_date,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
last_editor_display_name,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
last_editor_user_id,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
link_type_id,,,,1.0,,,,,,,,,,,,
location,,,,,,,,,,,,,,,1.0,
name,1.0,,,,,,,,,,,,,,,
owner_display_name,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
owner_user_id,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
parent_id,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
post_history_type_id,,,1.0,,,,,,,,,,,,,
post_id,,1.0,1.0,1.0,,,,,,,,,,,,1.0
post_type_id,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
profile_image_url,,,,,,,,,,,,,,,1.0,
related_post_id,,,,1.0,,,,,,,,,,,,
reputation,,,,,,,,,,,,,,,1.0,
revision_guid,,,1.0,,,,,,,,,,,,,
score,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
tag_based,1.0,,,,,,,,,,,,,,,
tag_name,,,,,,,,,,,,,,1.0,,
tags,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
text,,1.0,1.0,,,,,,,,,,,,,
title,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
up_votes,,,,,,,,,,,,,,,1.0,
user_display_name,,1.0,,,,,,,,,,,,,,
user_id,1.0,1.0,1.0,,,,,,,,,,,,,
view_count,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
views,,,,,,,,,,,,,,,1.0,
vote_type_id,,,,,,,,,,,,,,,,1.0
website_url,,,,,,,,,,,,,,,1.0,
wiki_post_id,,,,,,,,,,,,,,1.0,,
